Name,Date,Type,Platform,Text,Status
Tweet 27,2026-03-04,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern Batching mit festen Slots. Damit lieferst du 400 Premium-Prompts. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer. Ein Batch pro Woche reicht fuer 7 Tage Output.",Scheduled
Prompt 79,2026-03-04,prompt,X/Twitter,"Erstelle 5 Pricing-Optionen fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Prompt 80,2026-03-04,prompt,X/Twitter,"Baue 9 Offer-Statements fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Scheduled
Prompt 81,2026-03-04,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 9 High-Ticket-Argumente im Stil Schritt-fuer-Schritt. Zielgruppe: B2B Marketer. Thema: Mastermind-Plan. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 28,2026-03-05,tweet,X/Twitter,"Ohne System bleibt es Zufall. Planbar wird es durch Batching mit festen Slots: 30 getestete Hooks pro Woche. Batching: 30 Hooks, dann 30 Drafts. Du entscheidest. 30 Hooks in 60 Minuten sind realistisch. Fang mit 10 Agenten an und skaliere dann.",Scheduled
Prompt 82,2026-03-05,prompt,X/Twitter,"Erstelle 5 CTA-Ideen fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Hook-Datenbank.",Scheduled
Prompt 83,2026-03-05,prompt,X/Twitter,"Erstelle eine Liste von 9 Pricing-Optionen fuer Solo-Creator. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 84,2026-03-05,prompt,X/Twitter,"Erstelle eine Liste von 5 Tweet-Varianten fuer Coaches. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 29,2026-03-06,tweet,X/Twitter,"Der groesste Fehler: keine QA-Stufe einzuplanen. Fix: Wortlimits hart setzen. So entstehen eine klare Content-Routine mit 20 Agenten. Mastermind-Denken multipliziert Ergebnisse. Qualitaet kommt vom Review, nicht vom Zufall.",Scheduled
Prompt 85,2026-03-06,prompt,X/Twitter,"Erstelle eine Liste von 7 CTA-Ideen fuer SaaS Founder. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 86,2026-03-06,prompt,X/Twitter,Analysiere Content Factory und generiere 10 Pricing-Optionen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 87,2026-03-06,prompt,X/Twitter,Erstelle 12 Objection-Replies fuer Berater. Nutze Beispiel + Analyse und halte jede Ausgabe unter 20 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 30,2026-03-07,tweet,X/Twitter,"Nicht mehr brainstormen, sondern produzieren: Regel: jede Aufgabe in 120 Woerter kapseln. Output: eine konstante Pipeline ohne Burnout mit 16 Agenten. Monetarisierung heisst: klares Offer, klares Versprechen. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 88,2026-03-07,prompt,X/Twitter,"Baue 5 Hooks fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Scheduled
Prompt 89,2026-03-07,prompt,X/Twitter,Erstelle 7 Thread-Outlines fuer Solo-Creator. Nutze Beispiel + Analyse und halte jede Ausgabe unter 20 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 90,2026-03-07,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 DM-Templates im Stil Kurz und direkt. Zielgruppe: Berater. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 31,2026-03-08,tweet,X/Twitter,"Der groesste Fehler: die Hook-Phase zu ueberspringen. Fix: Wortlimits hart setzen. So entstehen eine klare Content-Routine mit 25 Agenten. Du entscheidest. Qualitaet kommt vom Review, nicht vom Zufall. Der Unterschied ist Prozess, nicht Talent.",Scheduled
Prompt 91,2026-03-08,prompt,X/Twitter,"Erstelle 10 Tweet-Varianten fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Creator Stack.",Scheduled
Prompt 92,2026-03-08,prompt,X/Twitter,Erstelle 12 Content-Ideen fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 93,2026-03-08,prompt,X/Twitter,Analysiere Tweet Engine und generiere 5 Hooks. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 32,2026-03-09,tweet,X/Twitter,"Kosten runter, Output hoch: Output-Funnels statt Einmal-Posts. Ergebnis: eine Content-Bibliothek fuer 90 Tage. Saubere Struktur ohne Ueberforderung. Preisleiter: Einstieg, Kernangebot, Premium-Upgrade. Du brauchst Klarheit, nicht mehr Disziplin.",Scheduled
Thread 5,2026-03-09,thread,X/Twitter,"So baust du Kosten senken mit kleinen Modellen ohne Chaos. / Wenn du Output willst, brauchst du Batching. / 30 Hooks -> 30 Drafts -> 30 gekuerzte Versionen. / Die Rollen bleiben strikt getrennt. / Kleine Modelle fuer Masse, Mid-Modelle fuer Schliff. / Haltung: Keine Ausreden, nur Handlung. / Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket. / CTA: Wenn du das System willst: antworte mit AGENTS.",Scheduled
Prompt 94,2026-03-09,prompt,X/Twitter,"Erstelle eine Liste von 5 Lead-Magnet-Ideen fuer B2B Marketer. Verwende Pro/Contra. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 95,2026-03-09,prompt,X/Twitter,"Erstelle eine Liste von 9 Offer-Statements fuer Solo-Creator. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 96,2026-03-09,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 5 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 33,2026-03-10,tweet,X/Twitter,"16 Agenten parallel liefern 400 Premium-Prompts. Der Hebel: Hook-First statt Content-First. Flow: Thema -> Hook -> Draft -> CTA. Ergebnis: saubere Struktur ohne Ueberforderung. Klare Haltung, klare Richtung. Einmal gebaut, laeuft der Prozess jeden Monat.",Scheduled
Prompt 97,2026-03-10,prompt,X/Twitter,"Baue 12 Tweet-Varianten fuer B2B Marketer. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 98,2026-03-10,prompt,X/Twitter,"Baue 9 Hooks fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Scheduled
Prompt 99,2026-03-10,prompt,X/Twitter,"Erstelle eine Liste von 9 CTA-Ideen fuer B2B Marketer. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 34,2026-03-11,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern Proof-Checks nach jedem Schritt. Damit lieferst du 30 getestete Hooks pro Woche. Zeige ehrliche Wertschaetzung. Der Unterschied ist Prozess, nicht Talent. Fang mit 10 Agenten an und skaliere dann.",Scheduled
Prompt 100,2026-03-11,prompt,X/Twitter,"Erstelle 7 Pricing-Optionen fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Tweet Engine.",Scheduled
Prompt 101,2026-03-11,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 CTA-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: Berater. Thema: Creator Stack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 102,2026-03-11,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 Thread-Outlines im Stil Pro/Contra. Zielgruppe: SaaS Founder. Thema: Mastermind-Plan. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 35,2026-03-12,tweet,X/Twitter,"Kosten runter, Output hoch: harte Wortlimits. Ergebnis: eine klare Content-Routine. Stabile Reichweite durch Konstanz. Der Wunsch nach Erfolg braucht ein definites Ziel. Du brauchst Klarheit, nicht mehr Disziplin. Fang mit 10 Agenten an und skaliere dann.",Scheduled
Prompt 103,2026-03-12,prompt,X/Twitter,Analysiere Prompt Pack und generiere 10 Use-Cases. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 104,2026-03-12,prompt,X/Twitter,"Baue 5 Objection-Replies fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 105,2026-03-12,prompt,X/Twitter,"Erstelle eine Liste von 9 Thread-Outlines fuer Agenturen. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 36,2026-03-13,tweet,X/Twitter,"Parallelisierung ist der Cheatcode: 25 Agenten, eine klare Content-Routine, stabile Reichweite durch Konstanz. Weg: Flow: Orchestrator -> Ideation -> Writer -> Refiner. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer.",Scheduled
Prompt 106,2026-03-13,prompt,X/Twitter,"Baue 5 Objection-Replies fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 107,2026-03-13,prompt,X/Twitter,"Erstelle 7 Objection-Replies fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Prompt 108,2026-03-13,prompt,X/Twitter,Erstelle 9 CTA-Ideen fuer B2B Marketer. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: Mastermind-Plan. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 37,2026-03-14,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern kleine Modelle fuer Masse und Mid-Modelle fuer Schliff. Damit lieferst du eine Content-Bibliothek fuer 90 Tage. Ein klares Ziel vor Augen schafft Zugkraft. Wenn du 10 Hooks testest, findest du 2 Gewinner.",Scheduled
Prompt 109,2026-03-14,prompt,X/Twitter,"Erstelle eine Liste von 12 Hooks fuer SaaS Founder. Verwende Schritt-fuer-Schritt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 110,2026-03-14,prompt,X/Twitter,"Erstelle 9 High-Ticket-Argumente fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Prompt 111,2026-03-14,prompt,X/Twitter,"Baue 9 CTA-Ideen fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: AI-Agenten Workflow.",Scheduled
Tweet 38,2026-03-15,tweet,X/Twitter,"Content skaliert nicht mit mehr Zeit, sondern durch Proof-Checks nach jedem Schritt. Mit 25 Agenten baust du eine konstante Pipeline ohne Burnout. Flow: Hook -> Draft -> Refine -> Publish. Stelle Fragen statt zu predigen.",Scheduled
Prompt 112,2026-03-15,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 Objection-Replies im Stil Framework. Zielgruppe: Berater. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 113,2026-03-15,prompt,X/Twitter,Analysiere Content Factory und generiere 5 CTA-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 114,2026-03-15,prompt,X/Twitter,Erstelle 5 Pricing-Optionen fuer Coaches. Nutze Kurz und direkt und halte jede Ausgabe unter 16 Woertern. Kontext: Hook-Datenbank. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 39,2026-03-16,tweet,X/Twitter,"Parallelisierung ist der Cheatcode: 20 Agenten, eine klare Content-Routine, messbar bessere Conversion. Weg: Flow: Orchestrator -> Ideation -> Writer -> Refiner. Wecke den Wunsch im anderen. Kopiere den Flow und teste eine Woche.",Scheduled
Thread 6,2026-03-16,thread,X/Twitter,"Workflow von Idee zu Output in 4 Schritten klingt simpel, ist aber ein Gamechanger. / Viele Threads scheitern am ersten Tweet. / Hook-First zwingt dich zu Klarheit. / Sammle 30 Hooks, teste 10, behalte 3. / Erst dann baust du den Rest des Threads. / Prinzip: Zeige ehrliche Wertschaetzung. / These: Der Wunsch nach Erfolg braucht ein definites Ziel. / CTA: Kommentiere AGENTS fuer die Struktur.",Scheduled
Prompt 115,2026-03-16,prompt,X/Twitter,Erstelle 12 Tweet-Varianten fuer Agenturen. Nutze Beispiel + Analyse und halte jede Ausgabe unter 18 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 116,2026-03-16,prompt,X/Twitter,Erstelle 7 Thread-Outlines fuer B2B Marketer. Nutze Kurz und direkt und halte jede Ausgabe unter 18 Woertern. Kontext: AI-Agenten Workflow. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 117,2026-03-16,prompt,X/Twitter,Analysiere Thread System und generiere 10 Content-Titel. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 40,2026-03-17,tweet,X/Twitter,"Wenn du skalierbare Content-Produktion willst, brauchst du eine Ideenmaschine vor der Schreibmaschine. Setup: Flow: Thema -> Hook -> Draft -> CTA. Das liefert mehr Output bei weniger Kopfschmerz. Du bist verantwortlich. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 118,2026-03-17,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 Content-Ideen im Stil Kurz und direkt. Zielgruppe: B2B Marketer. Thema: AI-Agenten Workflow. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 119,2026-03-17,prompt,X/Twitter,"Baue 12 Hooks fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Prompt Pack.",Scheduled
Prompt 120,2026-03-17,prompt,X/Twitter,"Erstelle 5 Content-Ideen fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Content Factory.",Scheduled
Tweet 41,2026-03-18,tweet,X/Twitter,25 Agenten parallel liefern 30 getestete Hooks pro Woche. Der Hebel: Parallelisierung. Regel: jede Aufgabe in 120 Woerter kapseln. Ergebnis: wiederholbare Ergebnisse statt Zufall. Sprich ueber die Interessen deines Gegenuebers.,Scheduled
Prompt 121,2026-03-18,prompt,X/Twitter,"Baue 10 Tweet-Varianten fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Tweet Engine.",Scheduled
Prompt 122,2026-03-18,prompt,X/Twitter,"Baue 10 Lead-Magnet-Ideen fuer Agenturen. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Content Factory.",Scheduled
Prompt 123,2026-03-18,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 9 Content-Ideen im Stil Schritt-fuer-Schritt. Zielgruppe: SaaS Founder. Thema: Tweet Engine. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 42,2026-03-19,tweet,X/Twitter,"Wenn du 300 Tweets pro Woche willst, brauchst du Proof-Checks nach jedem Schritt. Setup: Regel: jede Aufgabe in 120 Woerter kapseln. Das liefert klare Prozesse statt Chaos. Klare Haltung, klare Richtung. Ein Batch pro Woche reicht fuer 7 Tage Output.",Scheduled
Prompt 124,2026-03-19,prompt,X/Twitter,Erstelle 10 Offer-Statements fuer Solo-Creator. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Thread System. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 125,2026-03-19,prompt,X/Twitter,"Erstelle 9 Pricing-Optionen fuer Agenturen und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Creator Stack.",Scheduled
Prompt 126,2026-03-19,prompt,X/Twitter,Analysiere Thread System und generiere 7 Content-Ideen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Tweet 43,2026-03-20,tweet,X/Twitter,Die Formel: kleine Modelle fuer Masse und Mid-Modelle fuer Schliff + Flow: Orchestrator -> Ideation -> Writer -> Refiner = eine Content-Bibliothek fuer 90 Tage. Ergebnis: messbar bessere Conversion. Zeige ehrliche Wertschaetzung.,Scheduled
Prompt 127,2026-03-20,prompt,X/Twitter,"Erstelle 12 Content-Ideen fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Prompt 128,2026-03-20,prompt,X/Twitter,"Baue 7 Content-Titel fuer SaaS Founder. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Monetarisierungs-Funnel.",Scheduled
Prompt 129,2026-03-20,prompt,X/Twitter,"Erstelle 9 Offer-Statements fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Hook-Datenbank.",Scheduled
Tweet 44,2026-03-21,tweet,X/Twitter,"Wenn du eine klare Content-Routine willst, brauchst du Proof-Checks nach jedem Schritt. Setup: Rhythmus: 1 Batch pro Woche. Das liefert mehr Output bei weniger Kopfschmerz. Keine Ausreden, nur Handlung. Qualitaet kommt vom Review, nicht vom Zufall.",Scheduled
Prompt 130,2026-03-21,prompt,X/Twitter,"Erstelle eine Liste von 12 Offer-Statements fuer Coaches. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 131,2026-03-21,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 12 Thread-Outlines im Stil Beispiel + Analyse. Zielgruppe: Agenturen. Thema: Creator Stack. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 132,2026-03-21,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 High-Ticket-Argumente im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Hook-Datenbank. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 45,2026-03-22,tweet,X/Twitter,Die Formel: Batching mit festen Slots + Flow: Thema -> Hook -> Draft -> CTA = 400 Premium-Prompts. Ergebnis: stabile Reichweite durch Konstanz. Mastermind-Denken multipliziert Ergebnisse. Kopiere den Flow und teste eine Woche.,Scheduled
Prompt 133,2026-03-22,prompt,X/Twitter,"Erstelle 10 Objection-Replies fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Prompt 134,2026-03-22,prompt,X/Twitter,"Erstelle 10 High-Ticket-Argumente fuer B2B Marketer und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Monetarisierungs-Funnel.",Scheduled
Prompt 135,2026-03-22,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 9 DM-Templates im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Thread System. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 46,2026-03-23,tweet,X/Twitter,"Content skaliert nicht mit mehr Zeit, sondern durch Systemdesign statt Talent. Mit 25 Agenten baust du 50 Threads pro Monat. Batching: 30 Hooks, dann 30 Drafts. Stelle Fragen statt zu predigen. Wenn du 10 Hooks testest, findest du 2 Gewinner.",Scheduled
Thread 7,2026-03-23,thread,X/Twitter,So baust du Orchestrator als Pflichtrolle ohne Chaos. / Prinzip: Hoere aufrichtig zu. / These: Beharrlichkeit schlaegt Talent. / Haltung: Du entscheidest. / Framework: Orchestrator -> Ideation -> Writer -> Refiner. / Schritt 1: Sammle 30 Hooks in 1 Session. / Schritt 2: Schreibe Drafts im Batch. / Schritt 3: Kuerze hart und pruefe Nutzen. / CTA: Wenn du das System willst: antworte mit AGENTS.,Scheduled
Prompt 136,2026-03-23,prompt,X/Twitter,"Erstelle eine Liste von 9 CTA-Ideen fuer Coaches. Verwende Beispiel + Analyse. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 137,2026-03-23,prompt,X/Twitter,"Baue 12 High-Ticket-Argumente fuer Berater. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 138,2026-03-23,prompt,X/Twitter,"Erstelle eine Liste von 12 Content-Titel fuer B2B Marketer. Verwende Framework. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 47,2026-03-24,tweet,X/Twitter,"Du brauchst keine 10x Kreativitaet, sondern eine Ideenmaschine vor der Schreibmaschine. Damit lieferst du eine konstante Pipeline ohne Burnout. Du entscheidest. Du brauchst Klarheit, nicht mehr Disziplin. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 139,2026-03-24,prompt,X/Twitter,Analysiere Creator Stack und generiere 10 Pricing-Optionen. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 140,2026-03-24,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Use-Cases im Stil Framework. Zielgruppe: Agenturen. Thema: Mastermind-Plan. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 141,2026-03-24,prompt,X/Twitter,"Erstelle 5 Use-Cases fuer Solo-Creator und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Mastermind-Plan.",Scheduled
Tweet 48,2026-03-25,tweet,X/Twitter,"Content skaliert nicht mit mehr Zeit, sondern durch Quality Gates nach jedem Schritt. Mit 12 Agenten baust du 50 Threads pro Monat. Rhythmus: 1 Batch pro Woche. Monetarisierung heisst: klares Offer, klares Versprechen. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 142,2026-03-25,prompt,X/Twitter,Analysiere Monetarisierungs-Funnel und generiere 5 Tweet-Varianten. Nutze eine klare Struktur und schreibe auf Deutsch. Liefere zusaetzlich 3 Varianten je Item.,Scheduled
Prompt 143,2026-03-25,prompt,X/Twitter,"Erstelle 10 Tweet-Varianten fuer SaaS Founder und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Prompt 144,2026-03-25,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 5 Offer-Statements im Stil Beispiel + Analyse. Zielgruppe: SaaS Founder. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Tweet 49,2026-03-26,tweet,X/Twitter,16 Agenten parallel liefern 30 getestete Hooks pro Woche. Der Hebel: Hook-First statt Content-First. Rhythmus: 1 Batch pro Woche. Ergebnis: wiederholbare Ergebnisse statt Zufall. Mastermind-Denken multipliziert Ergebnisse.,Scheduled
Prompt 145,2026-03-26,prompt,X/Twitter,"Erstelle eine Liste von 12 CTA-Ideen fuer SaaS Founder. Verwende Template. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Prompt 146,2026-03-26,prompt,X/Twitter,"Erstelle 9 Content-Ideen fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Thread System.",Scheduled
Prompt 147,2026-03-26,prompt,X/Twitter,Erstelle 10 Hooks fuer Solo-Creator. Nutze Beispiel + Analyse und halte jede Ausgabe unter 16 Woertern. Kontext: Content Factory. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 50,2026-03-27,tweet,X/Twitter,"Der groesste Fehler: nur auf Kreativitaet statt System zu setzen. Fix: Output-Formate fixieren. So entstehen eine konstante Pipeline ohne Burnout mit 20 Agenten. Monetarisierung heisst: klares Offer, klares Versprechen. Kopiere den Flow und teste eine Woche.",Scheduled
Prompt 148,2026-03-27,prompt,X/Twitter,Du bist ein Content-Strategist. Liefere 7 Objection-Replies im Stil Kurz und direkt. Zielgruppe: Agenturen. Thema: Monetarisierungs-Funnel. Jede Ausgabe muss einen klaren Nutzen enthalten.,Scheduled
Prompt 149,2026-03-27,prompt,X/Twitter,"Baue 12 High-Ticket-Argumente fuer Coaches. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Thread System.",Scheduled
Prompt 150,2026-03-27,prompt,X/Twitter,"Erstelle eine Liste von 9 Thread-Outlines fuer B2B Marketer. Verwende Kurz und direkt. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 51,2026-03-28,tweet,X/Twitter,"Kosten runter, Output hoch: harte Wortlimits. Ergebnis: 300 Tweets pro Woche. Klare Prozesse statt Chaos. Triff eine klare Entscheidung und bleib dran. 30 Hooks in 60 Minuten sind realistisch. Fang mit 10 Agenten an und skaliere dann.",Scheduled
Prompt 151,2026-03-28,prompt,X/Twitter,Erstelle 12 Lead-Magnet-Ideen fuer Solo-Creator. Nutze Framework und halte jede Ausgabe unter 24 Woertern. Kontext: Tweet Engine. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 152,2026-03-28,prompt,X/Twitter,"Erstelle 7 Use-Cases fuer Berater und integriere ein Prinzip aus 'Wie man Freunde gewinnt'. Stil: respektvoll, motivierend, klar. Kontext: Monetarisierungs-Funnel.",Scheduled
Prompt 153,2026-03-28,prompt,X/Twitter,"Erstelle eine Liste von 7 Objection-Replies fuer SaaS Founder. Verwende Checkliste. Fokus: Nutzen, Klarheit, Spezifitaet. Gib Formatvorgaben pro Item an.",Scheduled
Tweet 52,2026-03-29,tweet,X/Twitter,Der groesste Fehler: zu breite Prompts ohne Output-Format. Fix: Stichproben-Review einbauen. So entstehen eine klare Content-Routine mit 16 Agenten. Funnel: Lead Magnet -> Tripwire -> Core Offer -> High Ticket -> Retainer.,Scheduled
Prompt 154,2026-03-29,prompt,X/Twitter,"Baue 5 Offer-Statements fuer Solo-Creator. Arbeite mit klaren Schritten, CTA und Beispiel. Kontext: Hook-Datenbank.",Scheduled
Prompt 155,2026-03-29,prompt,X/Twitter,Erstelle 12 Use-Cases fuer Coaches. Nutze Template und halte jede Ausgabe unter 16 Woertern. Kontext: Monetarisierungs-Funnel. Gib die Ausgabe nummeriert aus.,Scheduled
Prompt 156,2026-03-29,prompt,X/Twitter,Erstelle 10 Tweet-Varianten fuer SaaS Founder. Nutze Template und halte jede Ausgabe unter 20 Woertern. Kontext: Prompt Pack. Gib die Ausgabe nummeriert aus.,Scheduled
Tweet 53,2026-03-30,tweet,X/Twitter,"Wenn du 50 Threads pro Monat willst, brauchst du klare Rollen statt All-in-One. Setup: Flow: Thema -> Hook -> Draft -> CTA. Das liefert mehr Output bei weniger Kopfschmerz. Keine Ausreden, nur Handlung. Qualitaet kommt vom Review, nicht vom Zufall.",Scheduled
